"","life_satisfaction","household_size","house_owned","live_with_partner","no_child","house"
"212",6,2,1,1,1,1
"213",8,2,0,0,1,1
"214",9,2,1,0,1,1
"215",10,2,1,0,1,1
"216",8,2,1,0,1,1
"217",8,2,1,0,0,1
"218",9,4,1,1,0,1
"219",10,1,1,0,1,1
"220",5,1,0,0,1,0
"221",8,2,1,0,1,0
"222",9,5,1,0,0,1
"223",4,2,1,0,1,1
"224",10,2,1,1,1,1
"225",7,4,0,0,0,1
"226",10,2,1,0,1,1
"227",1,1,0,0,1,1
"228",9,2,1,0,1,0
"229",9,3,1,0,1,1
"230",8,3,1,0,1,1
"231",10,2,1,0,1,0
"232",9,1,0,0,1,0
"233",5,2,1,0,1,1
"234",7,5,1,0,0,1
"235",8,2,1,0,1,1
"236",8,2,1,0,1,1
"237",8,2,1,1,1,1
"238",10,2,1,0,1,1
"239",9,3,1,0,1,1
"240",5,1,1,0,1,1
"241",8,2,0,0,1,0
"242",8,2,1,0,1,1
"243",5,4,1,0,1,1
"244",6,1,0,0,1,0
"245",9,1,1,0,1,1
"246",10,4,1,0,0,1
"247",9,2,1,0,1,1
"248",9,2,0,1,1,0
"249",9,1,1,0,1,1
"250",5,2,1,0,1,1
"251",8,2,1,0,1,1
"252",8,2,1,0,1,1
"253",10,3,1,0,0,1
"254",8,4,0,1,0,0
"255",8,2,1,0,1,1
"256",10,4,1,0,0,1
"257",10,4,1,0,1,1
"258",8,3,1,0,1,1
"259",2,1,1,0,1,0
"260",10,3,1,0,0,1
"261",9,2,1,0,1,1
"262",5,4,1,0,1,1
"263",9,2,1,0,1,1
"264",7,1,0,0,1,0
"265",7,1,1,0,1,0
"266",8,2,0,0,1,0
"267",9,2,1,0,1,1
"268",8,3,1,0,1,1
"269",9,1,1,0,1,1
"270",8,3,1,0,1,1
"271",1,3,1,0,1,1
"272",9,3,1,0,1,1
"273",7,2,1,0,1,0
"274",8,2,0,0,1,0
"275",10,4,1,0,0,1
"276",8,3,1,0,1,1
"277",10,2,0,0,0,0
"278",10,2,1,0,1,1
"279",8,2,0,0,1,0
"280",9,2,1,0,1,1
"281",7,2,0,0,1,0
"282",10,6,1,0,0,NA
"283",9,2,1,0,1,1
"284",6,1,1,0,1,0
"285",8,1,1,0,1,1
"286",10,1,1,0,1,1
"287",8,1,0,0,1,0
"288",8,1,1,0,1,1
"289",8,2,1,0,1,1
"290",9,2,1,0,1,0
"291",8,3,1,0,1,1
"292",10,1,0,0,1,0
"293",10,1,1,0,1,1
"294",8,1,0,0,1,0
"295",8,2,1,0,1,1
"296",5,1,0,0,1,0
"297",7,2,1,0,1,1
"298",9,2,1,0,1,1
"299",9,4,1,0,0,0
"300",9,2,0,0,1,0
"301",8,2,1,1,1,1
"302",5,1,0,0,1,0
"303",10,1,1,0,1,1
"304",7,2,0,0,1,1
"305",9,4,0,0,1,0
"306",8,4,1,0,0,1
"307",7,2,0,1,1,0
"308",10,5,1,1,0,1
"309",8,1,0,0,1,0
"310",9,2,1,1,1,1
"311",7,2,0,0,1,0
"312",6,1,1,0,1,1
"313",8,1,0,0,1,0
"314",7,3,0,0,1,1
"315",4,2,1,1,1,1
"316",9,1,1,0,1,0
"317",9,4,1,0,0,0
"318",9,1,1,0,1,1
"319",0,1,0,0,1,0
"320",8,2,1,0,1,1
"321",6,2,0,1,1,0
"322",7,1,0,0,1,0
