"","life_satisfaction","household_size","house_owned","live_with_partner","no_child","house"
"5361",8,1,0,0,1,1
"5362",8,1,1,0,1,1
"5363",8,3,1,0,1,1
"5364",10,2,1,0,1,1
"5365",10,2,1,1,1,1
"5366",6,5,1,0,0,1
"5367",6,1,0,0,1,1
"5368",8,4,1,1,1,1
"5369",6,1,0,0,1,1
"5370",9,1,1,0,1,0
"5371",9,2,1,1,1,0
"5372",9,1,1,0,1,1
"5373",10,2,1,0,1,1
"5374",8,1,1,0,1,0
"5375",5,1,0,0,1,0
"5376",9,3,1,0,1,0
"5377",7,2,1,0,1,1
"5378",10,1,1,0,1,1
"5379",3,6,1,0,0,1
"5380",8,5,1,1,0,1
"5381",3,4,0,0,0,0
"5382",9,2,1,0,1,1
"5383",10,2,1,0,1,1
"5384",8,1,0,0,1,0
"5385",9,2,1,0,1,1
"5386",0,2,1,0,1,0
"5387",9,2,1,0,1,1
"5388",8,2,0,1,1,1
"5389",10,2,1,0,1,1
"5390",7,4,0,0,1,0
"5391",10,4,1,0,1,1
"5392",5,1,0,0,1,0
"5393",8,2,1,0,1,1
"5394",9,3,1,1,0,0
"5395",8,2,1,0,1,1
"5396",9,2,0,1,1,0
"5397",9,2,1,0,0,1
"5398",8,2,1,0,1,1
"5399",9,4,1,0,0,1
"5400",10,2,1,0,1,1
"5401",9,1,0,0,1,0
"5402",7,2,1,0,1,0
"5403",8,1,1,0,1,1
"5404",8,1,0,0,1,0
"5405",8,2,1,0,1,1
"5406",10,1,1,0,1,0
"5407",8,6,1,0,1,1
"5408",7,1,0,0,1,0
"5409",6,1,0,0,1,0
"5410",0,1,0,0,1,0
"5411",9,2,1,0,1,1
"5412",9,2,1,0,1,0
"5413",9,3,1,1,1,1
"5414",10,4,1,0,1,1
"5415",4,5,0,0,0,0
"5416",8,4,1,0,1,1
"5417",4,1,1,0,1,1
"5418",8,4,1,0,1,1
"5419",7,2,1,0,1,1
"5420",8,4,1,0,0,1
"5421",9,2,1,0,1,1
"5422",8,2,1,0,1,0
"5423",8,2,0,0,1,NA
"5424",10,2,1,0,1,1
"5425",9,1,0,0,1,0
"5426",8,2,1,0,1,1
"5427",10,5,1,0,0,1
"5428",10,4,1,1,0,0
"5429",10,1,0,0,1,0
"5430",10,2,0,0,1,1
"5431",10,3,1,1,0,1
"5432",8,2,1,1,1,0
"5433",5,3,1,0,1,1
"5434",9,3,1,0,1,1
"5435",10,2,1,1,1,1
"5436",9,2,1,0,1,1
"5437",7,1,0,0,1,0
"5438",0,1,0,0,1,0
"5439",8,4,1,0,0,1
"5440",8,2,1,0,1,1
"5441",9,6,1,0,1,1
"5442",8,1,1,0,1,1
"5443",9,2,0,0,1,0
"5444",10,1,1,0,1,1
"5445",8,2,0,0,1,0
"5446",8,3,1,0,1,1
"5447",9,1,1,0,1,0
"5448",7,2,0,0,1,0
"5449",8,2,1,0,1,1
"5450",6,4,0,0,1,0
"5451",10,4,1,0,1,1
"5452",7,2,1,0,1,0
"5453",9,2,1,1,1,1
"5454",10,2,1,0,1,1
"5455",9,1,0,0,1,0
"5456",8,3,1,1,0,1
"5457",0,1,0,0,1,1
"5458",9,2,1,1,1,1
"5459",9,2,0,1,1,0
"5460",10,2,1,0,1,1
"5461",10,4,1,0,1,0
"5462",10,1,1,0,1,1
"5463",10,2,1,0,1,1
"5464",7,2,1,0,1,1
"5465",7,2,0,0,1,0
"5466",6,1,1,0,1,0
"5467",9,2,1,0,1,1
"5468",10,2,0,1,1,0
"5469",10,2,1,0,1,0
"5470",10,2,1,0,1,0
"5471",10,2,1,0,1,1
"5472",6,1,0,0,1,0
"5473",6,2,0,0,1,0
"5474",9,4,1,0,0,1
"5475",8,2,1,0,1,1
"5476",10,3,1,0,0,1
"5477",10,2,1,0,1,1
"5478",7,2,1,0,1,1
"5479",10,3,1,0,1,1
"5480",6,1,1,0,1,1
"5481",5,1,0,0,1,0
"5482",7,3,1,1,0,1
"5483",8,1,1,0,1,1
"5484",3,2,1,1,1,0
"5485",7,4,0,1,0,0
"5486",8,3,1,0,1,1
"5487",3,3,1,0,1,1
"5488",8,2,0,0,1,0
"5489",9,1,0,0,1,0
"5490",7,3,1,0,1,1
"5491",8,3,0,0,0,0
"5492",10,4,1,0,0,1
"5493",10,2,1,0,1,0
"5494",8,1,1,0,1,1
"5495",10,4,1,0,0,1
"5496",9,1,0,0,1,0
"5497",8,2,1,0,1,1
"5498",8,3,1,0,0,1
"5499",6,3,1,0,1,1
"5500",7,2,1,0,1,0
"5501",10,2,1,0,1,1
"5502",10,1,1,0,1,0
"5503",9,2,1,0,1,1
"5504",7,2,0,0,1,0
"5505",8,2,1,0,1,1
"5506",8,3,1,0,1,1
"5507",8,2,0,1,1,0
"5508",8,2,1,0,1,1
"5509",10,1,1,0,1,1
"5510",9,1,1,0,1,0
"5511",10,1,1,0,1,1
"5512",6,1,1,0,1,1
"5513",8,3,1,0,0,1
"5514",10,2,1,0,1,1
"5515",10,2,1,1,1,1
"5516",8,4,1,0,0,1
"5517",8,2,1,0,1,0
"5518",7,2,0,0,1,0
"5519",8,1,1,0,1,0
"5520",8,3,1,1,0,1
"5521",8,4,1,0,0,1
"5522",8,2,1,0,1,1
"5523",8,1,0,0,1,0
"5524",7,1,0,0,1,0
"5525",10,2,0,0,1,0
"5526",10,1,0,0,1,0
"5527",9,1,1,0,1,1
"5528",10,2,1,0,1,1
"5529",9,2,1,0,1,1
"5530",6,1,0,0,1,0
"5531",8,4,1,0,0,1
"5532",10,4,1,0,0,1
"5533",9,1,1,0,1,1
"5534",5,2,1,0,1,1
"5535",8,1,0,0,1,0
"5536",10,3,1,0,1,1
"5537",9,1,1,0,1,0
"5538",8,6,1,0,0,1
"5539",8,1,1,0,1,1
"5540",9,4,0,0,0,0
"5541",8,2,1,0,1,0
"5542",9,1,0,0,1,0
"5543",7,1,1,0,1,0
"5544",8,4,1,0,0,1
"5545",7,4,1,0,0,0
"5546",8,4,0,0,1,1
"5547",6,5,1,0,0,0
"5548",8,1,0,0,1,0
"5549",8,2,1,0,1,1
"5550",7,4,1,0,0,0
"5551",6,1,1,0,1,0
"5552",5,1,1,0,1,0
"5553",8,4,1,0,0,1
"5554",8,2,1,0,1,1
"5555",8,2,0,0,1,0
"5556",8,1,1,0,1,1
"5557",7,3,1,1,1,1
"5558",9,4,1,0,1,1
"5559",8,2,1,0,1,1
"5560",8,2,1,0,1,0
"5561",10,2,0,0,1,NA
"5562",8,1,1,0,1,1
"5563",10,6,1,0,0,1
"5564",8,4,1,0,0,1
"5565",10,2,1,0,1,1
"5566",9,3,1,0,1,1
"5567",8,1,0,0,1,0
"5568",8,4,1,0,0,1
"5569",9,2,1,0,1,1
"5570",8,4,1,0,0,1
"5571",8,4,1,0,1,1
"5572",7,3,1,0,1,1
"5573",6,1,0,0,1,0
"5574",10,2,1,0,1,1
"5575",4,4,0,0,1,1
"5576",9,4,1,0,1,1
"5577",9,1,0,0,1,0
"5578",3,2,0,0,1,0
"5579",8,1,1,0,1,1
"5580",9,2,1,0,1,1
"5581",10,3,1,1,0,1
"5582",8,2,1,0,1,1
"5583",10,2,1,0,1,0
"5584",10,2,1,0,1,1
"5585",10,2,1,0,1,1
"5586",10,3,1,1,0,0
"5587",5,4,1,1,0,1
"5588",9,2,1,1,1,1
"5589",7,1,1,0,1,0
"5590",7,3,1,0,1,1
"5591",8,2,0,0,1,0
"5592",7,3,0,0,0,0
"5593",6,5,1,0,0,1
"5594",10,2,1,0,1,1
"5595",7,3,1,0,1,1
"5596",5,2,1,0,1,1
"5597",8,5,0,0,1,0
"5598",7,2,0,0,1,0
"5599",7,2,1,0,1,1
"5600",10,5,1,0,0,1
"5601",8,2,0,0,1,0
"5602",8,6,1,1,0,1
"5603",8,4,1,0,0,1
"5604",6,3,1,0,1,0
"5605",8,2,1,0,1,1
"5606",9,2,1,0,1,1
"5607",9,1,1,0,1,1
"5608",7,5,1,0,1,1
"5609",6,3,1,0,0,0
"5610",8,1,0,0,1,0
"5611",8,4,0,1,0,1
"5612",6,4,0,0,1,0
"5613",9,3,1,0,0,0
"5614",8,2,1,0,1,1
"5615",10,3,1,1,0,0
"5616",7,4,1,0,0,1
"5617",8,5,1,0,1,1
"5618",9,1,0,0,1,0
"5619",8,2,1,0,1,1
"5620",4,1,0,0,1,0
"5621",9,2,1,0,1,1
"5622",6,1,0,0,1,0
"5623",9,2,1,1,1,0
"5624",8,2,1,0,1,1
"5625",8,3,1,0,1,1
"5626",8,2,0,0,1,0
"5627",9,1,0,0,1,1
"5628",8,1,0,0,1,0
"5629",8,3,1,0,0,1
"5630",7,1,0,0,1,0
"5631",7,3,1,0,1,1
"5632",7,2,1,0,1,0
"5633",9,1,1,0,1,0
"5634",8,3,1,1,0,1
"5635",7,1,0,0,1,0
"5636",6,1,1,0,1,1
"5637",6,1,1,0,1,1
"5638",8,2,0,1,1,0
"5639",9,2,1,0,1,1
"5640",7,2,1,0,1,1
"5641",7,2,1,0,1,1
"5642",10,2,1,0,1,1
"5643",4,1,0,0,1,0
"5644",8,2,1,0,1,0
"5645",4,3,0,0,0,NA
"5646",7,2,1,1,1,1
"5647",6,1,0,0,1,0
"5648",8,1,1,0,1,1
"5649",10,5,1,0,1,1
"5650",5,2,1,0,1,1
"5651",7,2,1,0,1,1
"5652",10,2,1,0,1,0
"5653",3,3,0,0,1,1
"5654",5,3,1,0,0,1
"5655",8,2,0,0,1,0
"5656",5,1,0,0,1,0
"5657",10,1,0,0,1,0
"5658",8,3,1,0,1,1
"5659",8,1,0,0,1,0
"5660",9,3,1,0,0,0
"5661",9,4,1,0,0,1
"5662",4,1,0,0,1,0
"5663",6,2,0,0,1,0
"5664",7,1,1,0,1,1
"5665",4,1,0,0,1,0
"5666",8,2,1,0,1,1
"5667",9,2,1,0,1,1
"5668",8,1,1,0,1,1
"5669",8,5,1,0,0,1
"5670",8,2,0,0,1,0
"5671",8,5,1,0,0,1
"5672",8,3,0,0,1,0
"5673",10,5,0,1,0,NA
"5674",8,2,1,0,1,1
"5675",9,4,1,0,0,1
"5676",7,5,0,0,0,1
"5677",5,1,1,0,1,1
"5678",7,4,0,1,0,0
"5679",9,2,0,0,1,1
"5680",7,2,1,0,1,1
"5681",9,3,1,0,0,1
"5682",10,2,1,0,1,1
"5683",10,6,1,0,0,1
"5684",8,1,1,0,1,1
"5685",10,1,1,0,1,1
"5686",5,3,1,0,1,1
"5687",9,4,1,1,0,1
"5688",7,4,1,0,0,1
"5689",8,1,1,0,1,1
"5690",5,2,0,0,1,0
"5691",9,5,1,0,1,1
"5692",10,2,1,0,1,1
"5693",8,2,0,1,1,0
"5694",5,2,1,0,1,1
"5695",6,3,1,1,0,1
"5696",9,3,1,0,0,1
"5697",8,3,1,0,1,1
"5698",7,2,1,0,1,1
"5699",3,1,0,0,1,0
"5700",8,5,1,0,0,1
"5701",10,3,1,0,1,1
"5702",7,1,1,0,1,1
"5703",10,3,1,0,1,1
"5704",7,3,1,0,1,0
"5705",7,4,1,0,0,1
"5706",7,2,1,0,1,1
"5707",9,2,1,0,1,1
"5708",8,1,1,0,1,1
"5709",10,1,1,0,1,1
"5710",10,2,0,0,1,0
"5711",8,5,1,1,0,1
"5712",6,2,0,0,0,0
"5713",10,4,1,0,0,1
"5714",10,4,1,0,0,1
"5715",10,1,0,0,1,0
"5716",8,2,1,0,1,1
"5717",10,6,1,1,0,1
"5718",5,1,1,0,1,1
"5719",6,2,0,1,1,0
"5720",8,1,1,0,1,1
"5721",6,4,1,0,0,0
"5722",8,2,1,1,1,1
"5723",10,4,1,0,0,1
"5724",9,1,1,0,1,0
"5725",9,1,1,0,1,0
"5726",9,2,1,0,1,0
"5727",6,5,1,0,1,1
"5728",7,2,0,0,1,0
"5729",8,2,0,1,1,0
"5730",8,2,1,0,1,1
"5731",8,1,0,0,1,1
"5732",8,2,1,0,1,1
"5733",10,1,0,0,1,0
"5734",8,1,1,0,1,1
"5735",5,2,1,0,1,1
"5736",8,1,1,0,1,0
"5737",8,2,0,0,1,0
"5738",10,6,1,0,0,1
"5739",5,1,0,0,1,0
"5740",10,2,1,0,1,1
"5741",8,2,1,0,1,1
"5742",10,5,0,0,1,0
"5743",10,6,1,0,0,1
"5744",7,6,1,1,0,1
"5745",6,4,0,0,1,1
"5746",8,3,1,0,0,1
"5747",7,1,0,0,1,0
"5748",9,1,1,0,1,0
"5749",7,2,1,0,1,1
"5750",10,4,1,0,0,1
"5751",8,4,1,0,0,1
"5752",2,1,1,0,1,1
"5753",9,2,1,0,1,1
"5754",9,3,1,0,1,1
"5755",10,2,1,0,1,0
"5756",10,3,0,0,0,1
"5757",9,2,1,0,1,1
"5758",8,1,1,0,1,1
"5759",10,3,1,0,1,1
"5760",6,3,1,0,1,1
"5761",8,2,1,0,1,0
"5762",8,1,0,0,1,0
"5763",10,2,1,1,1,1
"5764",8,2,1,0,1,1
"5765",5,1,0,0,1,0
"5766",8,1,0,0,1,0
"5767",8,1,1,0,1,0
"5768",7,5,0,0,0,0
"5769",5,4,1,0,0,1
"5770",10,1,1,0,1,0
"5771",9,1,1,0,1,0
"5772",10,3,1,0,1,1
"5773",10,3,1,0,1,1
"5774",7,5,1,0,0,1
"5775",7,1,0,0,1,0
"5776",8,2,1,0,0,1
"5777",10,2,0,1,1,0
"5778",9,5,0,0,0,0
"5779",8,1,0,0,1,0
"5780",7,2,1,0,1,1
"5781",9,4,1,0,1,1
"5782",8,2,1,0,1,1
"5783",8,4,1,1,0,0
"5784",9,4,1,0,1,1
"5785",9,2,1,1,1,1
"5786",7,1,0,0,1,0
"5787",8,2,1,0,1,1
"5788",10,5,1,0,1,1
"5789",9,2,1,0,1,1
"5790",8,2,1,0,1,1
"5791",7,3,0,1,0,0
"5792",10,2,1,0,1,1
"5793",7,3,1,0,1,1
"5794",7,1,0,0,1,0
"5795",10,2,1,0,1,0
"5796",10,4,1,0,1,1
"5797",9,2,1,0,1,1
"5798",10,2,1,0,1,0
"5799",10,2,1,1,1,1
"5800",9,2,1,0,1,1
"5801",9,4,1,0,0,1
"5802",8,3,1,0,1,1
"5803",8,1,0,0,1,0
"5804",8,3,1,0,1,0
"5805",8,2,1,0,1,1
"5806",8,2,1,1,1,0
"5807",10,6,1,0,0,1
"5808",5,1,0,0,1,0
"5809",10,3,1,0,1,1
"5810",7,4,1,0,0,1
"5811",10,1,0,0,1,0
"5812",9,4,1,1,0,0
"5813",9,2,0,0,1,0
"5814",4,1,1,0,1,1
"5815",10,2,1,0,1,1
"5816",8,2,1,0,1,1
"5817",9,4,1,0,0,1
"5818",8,2,1,0,0,1
"5819",10,1,1,0,1,1
"5820",7,1,0,0,1,0
"5821",5,5,1,0,1,1
"5822",8,2,1,0,1,1
"5823",8,3,1,0,0,1
"5824",8,2,0,0,1,0
"5825",10,4,1,0,1,1
"5826",9,4,1,0,0,1
"5827",8,3,1,1,1,1
"5828",6,1,1,0,1,1
"5829",9,2,0,0,1,1
"5830",9,1,0,0,1,1
"5831",8,2,1,1,1,1
"5832",8,3,1,0,1,1
"5833",10,2,1,0,1,1
"5834",5,1,0,0,1,0
"5835",10,2,1,0,1,1
"5836",9,2,1,0,1,1
"5837",6,5,1,0,0,1
"5838",9,2,1,1,1,0
"5839",5,3,1,0,1,1
"5840",7,3,1,0,1,1
"5841",8,1,1,0,1,1
"5842",8,1,1,0,1,1
"5843",10,1,0,0,1,0
"5844",5,1,1,0,1,0
"5845",7,4,1,0,1,1
"5846",10,2,1,0,1,1
"5847",8,2,1,0,1,1
"5848",8,4,1,0,1,1
"5849",9,2,1,0,1,1
"5850",7,2,0,0,1,0
"5851",10,2,0,0,1,0
"5852",9,2,1,0,0,0
"5853",10,1,1,0,1,0
"5854",7,3,0,1,0,1
"5855",9,5,1,0,1,1
"5856",6,1,1,0,1,0
"5857",3,1,0,0,1,0
"5858",8,4,1,0,0,0
"5859",9,2,1,0,1,0
"5860",9,1,1,0,1,1
"5861",10,1,0,0,1,0
"5862",10,3,0,0,1,0
"5863",8,1,0,0,1,1
"5864",5,2,1,0,1,1
"5865",7,1,0,0,1,1
"5866",10,1,1,0,1,1
"5867",10,1,0,0,1,0
"5868",8,3,1,0,1,1
"5869",6,3,1,0,0,1
"5870",9,4,1,0,0,1
"5871",8,1,0,0,1,0
"5872",9,6,1,0,0,1
"5873",10,5,1,0,0,1
"5874",8,2,0,0,1,0
"5875",9,2,1,0,1,1
"5876",5,2,1,0,1,1
"5877",5,2,1,0,1,1
"5878",10,1,0,0,1,0
"5879",6,1,1,0,1,0
"5880",6,1,0,0,1,1
"5881",8,3,0,0,0,1
"5882",5,2,1,0,1,1
"5883",8,4,1,0,0,1
"5884",3,1,0,0,1,0
"5885",10,3,0,0,1,0
"5886",7,1,1,0,1,0
"5887",9,1,0,0,1,0
"5888",8,5,1,0,1,1
"5889",8,4,1,0,0,1
"5890",6,1,1,0,1,1
"5891",9,3,1,0,1,0
"5892",10,1,1,0,1,0
"5893",9,2,1,0,1,1
"5894",8,3,1,0,0,1
"5895",8,1,0,0,1,0
"5896",7,4,1,0,0,1
"5897",8,4,1,0,0,1
"5898",5,2,0,1,1,0
"5899",5,1,1,0,1,1
"5900",9,1,1,0,1,1
"5901",8,2,1,0,1,0
"5902",7,1,1,0,1,1
"5903",8,3,1,0,0,0
"5904",7,1,1,0,1,0
"5905",9,5,1,0,1,1
"5906",7,3,1,1,0,0
"5907",10,2,1,0,1,1
"5908",8,2,0,0,0,0
"5909",6,4,1,0,1,0
"5910",8,2,1,0,1,1
"5911",9,1,1,0,1,1
"5912",7,3,1,0,0,0
"5913",4,1,0,0,1,0
"5914",7,2,1,0,1,0
"5915",8,2,1,0,1,1
"5916",7,5,1,0,1,1
"5917",10,2,1,1,1,1
"5918",9,1,1,0,1,0
"5919",8,1,1,0,1,0
"5920",7,2,1,0,1,0
"5921",8,3,1,0,1,1
"5922",7,4,1,0,0,0
"5923",9,3,1,0,1,1
"5924",8,5,1,0,0,1
"5925",9,2,1,0,0,1
"5926",7,2,1,0,1,1
"5927",8,3,1,0,1,1
"5928",8,1,1,0,1,1
"5929",7,1,0,0,1,0
"5930",8,1,1,0,1,0
"5931",8,5,0,1,0,0
"5932",8,2,1,0,1,1
"5933",10,4,1,0,1,1
"5934",10,4,1,1,0,0
"5935",8,1,1,0,1,0
"5936",10,3,1,0,1,1
"5937",10,4,1,0,0,1
"5938",5,3,1,0,1,1
"5939",7,2,1,0,1,0
"5940",8,2,1,0,1,1
"5941",7,1,1,0,1,1
"5942",9,2,1,1,1,1
"5943",8,2,1,0,1,0
"5944",9,6,1,0,1,1
"5945",8,2,1,0,1,1
"5946",10,1,1,0,1,0
"5947",8,5,1,1,0,0
"5948",7,1,1,0,1,1
"5949",8,1,1,0,1,0
"5950",8,2,1,0,1,1
"5951",7,3,1,0,0,0
"5952",10,4,1,0,1,1
"5953",7,3,1,1,0,1
"5954",6,3,1,0,0,1
"5955",9,2,1,0,1,1
"5956",8,1,1,0,1,1
"5957",9,2,1,0,1,1
"5958",10,1,1,0,1,0
"5959",8,2,1,0,0,1
"5960",7,4,1,0,0,1
"5961",5,2,1,1,1,1
"5962",10,1,1,0,1,1
"5963",8,3,0,0,1,0
"5964",5,2,0,0,1,NA
"5965",8,1,0,0,1,0
"5966",7,1,1,0,1,1
"5967",7,1,1,0,1,0
"5968",6,1,0,0,1,0
"5969",10,4,1,0,1,1
"5970",8,1,0,0,1,0
"5971",10,3,0,1,0,0
"5972",8,1,1,0,1,0
"5973",10,2,1,0,1,1
"5974",10,2,0,0,1,0
"5975",9,5,1,0,1,1
"5976",8,2,1,0,1,1
"5977",8,2,1,0,1,1
"5978",8,3,1,0,1,1
"5979",9,2,1,0,1,0
"5980",8,2,1,0,1,1
"5981",9,2,1,0,1,1
"5982",8,2,1,0,1,1
"5983",7,4,0,1,0,0
"5984",8,1,1,0,1,0
"5985",10,5,1,0,0,1
"5986",10,1,1,0,1,1
"5987",5,2,1,0,1,0
"5988",5,1,0,0,1,0
"5989",9,2,1,0,1,1
"5990",6,1,0,0,1,1
"5991",8,1,1,0,1,1
"5992",8,2,1,0,1,1
"5993",7,3,1,0,1,1
"5994",8,1,0,0,1,0
"5995",10,4,1,0,0,1
"5996",7,1,1,0,1,0
"5997",9,4,1,0,0,1
"5998",10,4,1,0,1,1
"5999",6,1,1,0,1,0
"6000",8,2,1,1,1,1
"6001",8,2,1,0,1,1
"6002",9,3,1,0,0,1
"6003",10,4,1,0,0,1
"6004",8,2,1,0,1,1
"6005",5,1,0,0,1,0
"6006",6,4,1,0,0,1
"6007",0,1,0,0,1,0
"6008",9,2,1,1,1,1
"6009",7,1,1,0,1,1
"6010",9,2,1,0,1,1
"6011",8,4,1,1,0,0
"6012",8,4,1,0,0,1
"6013",10,2,1,0,1,1
"6014",9,2,1,0,1,0
"6015",9,2,1,0,1,1
"6016",7,1,1,0,1,0
"6017",7,2,1,0,1,1
"6018",9,4,1,0,0,1
"6019",7,1,1,0,1,1
"6020",9,4,1,0,0,1
"6021",8,1,1,0,1,1
"6022",8,2,1,0,1,1
"6023",8,1,1,0,1,0
"6024",9,2,1,0,1,1
"6025",7,1,1,0,1,1
"6026",9,3,1,0,1,1
"6027",7,2,0,0,1,0
"6028",8,3,1,0,1,1
"6029",10,3,1,0,1,1
"6030",9,3,1,0,1,0
"6031",8,6,1,0,0,1
"6032",7,4,1,0,1,1
"6033",8,1,1,0,1,1
"6034",10,5,0,0,1,1
"6035",10,2,1,1,1,0
"6036",8,1,0,0,1,0
"6037",8,4,1,0,0,1
"6038",8,4,1,0,0,1
"6039",8,3,1,0,1,1
"6040",8,2,1,0,1,1
"6041",8,1,0,0,1,0
"6042",8,1,1,0,1,0
"6043",10,1,1,0,1,1
"6044",8,1,1,0,1,1
"6045",7,1,0,0,1,0
"6046",5,3,1,0,1,1
"6047",9,4,0,0,1,1
"6048",8,4,1,0,0,1
"6049",7,5,0,0,0,0
"6050",7,5,1,0,0,1
"6051",8,2,1,0,1,1
"6052",9,4,1,0,1,1
"6053",10,1,0,0,1,0
"6054",8,2,1,0,1,1
"6055",10,1,0,0,1,0
"6056",9,3,0,0,0,0
"6057",6,6,1,0,0,1
"6058",6,2,1,1,1,1
"6059",9,2,1,0,1,1
"6060",8,1,0,0,1,0
"6061",5,2,1,0,1,0
"6062",9,2,1,1,1,1
"6063",8,4,1,0,0,1
"6064",7,4,0,0,0,1
"6065",7,3,0,0,1,0
"6066",9,4,1,0,0,1
"6067",9,5,1,0,1,1
"6068",9,1,1,0,1,1
"6069",7,6,1,0,0,1
"6070",8,5,1,0,1,1
"6071",8,3,1,0,0,1
"6072",9,2,1,0,1,1
"6073",9,2,1,0,1,1
"6074",8,1,0,0,1,0
"6075",8,3,1,0,0,0
"6076",10,2,1,0,1,1
"6077",7,2,0,0,1,0
"6078",9,4,1,0,0,1
"6079",10,3,1,0,1,1
"6080",5,3,1,0,0,1
"6081",10,3,1,1,0,1
"6082",8,4,1,0,1,1
"6083",10,2,1,0,1,1
"6084",10,1,1,0,1,1
"6085",9,2,1,0,1,0
"6086",7,2,0,0,1,0
"6087",8,2,1,0,1,1
"6088",9,3,1,0,0,1
"6089",10,2,1,0,1,1
"6090",6,1,1,0,1,1
"6091",9,4,1,0,1,1
"6092",5,2,1,1,1,1
"6093",8,1,0,0,1,0
"6094",8,2,1,0,1,1
"6095",7,2,1,0,1,0
"6096",9,2,1,0,1,1
"6097",8,2,1,0,1,1
"6098",10,2,1,0,1,1
"6099",9,2,1,0,1,1
"6100",8,2,0,0,0,0
"6101",8,2,0,0,1,0
"6102",8,1,0,0,1,0
"6103",7,1,1,0,1,0
"6104",5,5,0,0,0,0
"6105",8,4,1,0,1,1
"6106",1,1,0,0,1,0
"6107",10,2,1,0,1,1
"6108",8,4,1,0,1,1
"6109",7,2,1,0,1,1
"6110",10,2,1,0,1,1
"6111",7,1,1,0,1,1
"6112",8,3,1,0,0,1
"6113",8,2,1,0,1,1
"6114",8,2,1,0,1,1
"6115",7,3,1,1,0,1
"6116",10,1,0,0,1,0
"6117",5,1,1,0,1,0
"6118",10,1,1,0,1,1
"6119",10,3,1,0,1,1
"6120",10,1,1,0,1,1
"6121",7,1,1,0,1,1
"6122",10,3,0,0,0,1
"6123",9,2,0,1,1,0
"6124",10,2,1,0,1,1
"6125",8,4,1,0,0,1
"6126",8,4,1,0,0,1
"6127",8,2,1,0,1,1
"6128",6,2,1,0,1,0
"6129",7,1,0,0,1,0
"6130",9,1,0,0,1,1
"6131",10,2,1,0,1,1
"6132",10,1,1,0,1,1
"6133",10,2,1,0,1,1
"6134",9,2,1,0,1,1
"6135",10,2,1,0,1,1
"6136",8,3,1,0,1,1
"6137",8,2,1,0,1,1
"6138",9,2,1,0,1,1
"6139",9,4,1,0,0,1
"6140",9,2,1,0,1,1
"6141",6,1,0,0,1,0
"6142",9,2,1,0,1,1
"6143",9,4,1,0,0,1
"6144",6,4,1,0,0,1
"6145",10,2,1,0,1,1
"6146",7,1,0,0,1,0
"6147",10,1,1,0,1,1
"6148",5,3,0,0,0,1
"6149",5,3,0,0,0,0
"6150",9,2,1,0,1,0
"6151",9,5,1,0,0,1
"6152",7,1,0,0,1,0
"6153",10,1,1,0,1,1
"6154",6,5,1,0,0,1
"6155",3,4,1,1,0,1
"6156",9,1,1,0,1,0
"6157",10,2,1,0,1,1
"6158",5,2,1,1,1,0
"6159",8,1,1,0,1,0
"6160",9,2,1,0,1,1
"6161",9,4,1,0,0,1
"6162",8,2,1,1,1,1
"6163",10,3,1,0,0,1
"6164",7,1,0,0,1,0
"6165",9,4,1,0,0,1
"6166",9,5,1,0,1,1
"6167",9,3,1,1,0,1
"6168",8,4,1,0,0,0
"6169",8,1,0,0,1,0
"6170",10,4,1,0,0,1
"6171",8,1,1,0,1,1
"6172",8,2,1,0,1,1
"6173",5,1,1,0,1,1
"6174",9,4,1,0,0,1
"6175",9,4,1,1,0,1
"6176",7,2,0,0,0,0
"6177",9,2,1,0,1,1
"6178",7,1,0,0,1,0
"6179",8,1,1,0,1,0
"6180",10,4,1,0,1,1
"6181",9,4,1,0,1,1
"6182",4,3,1,0,1,0
"6183",8,4,1,0,0,1
"6184",10,4,1,1,0,1
"6185",7,1,1,0,1,1
"6186",8,2,1,0,1,1
"6187",9,2,0,0,1,0
"6188",10,6,1,0,0,1
"6189",10,6,1,0,0,1
"6190",7,1,0,0,1,0
"6191",7,2,0,0,1,0
"6192",8,3,0,0,0,0
"6193",9,1,1,0,1,1
"6194",9,2,1,0,1,1
"6195",8,1,0,0,1,0
"6196",8,3,1,0,1,1
"6197",7,1,1,0,1,1
"6198",7,2,1,0,1,1
"6199",8,2,1,0,1,1
"6200",8,1,1,0,1,1
"6201",9,2,1,0,1,1
"6202",9,2,1,0,1,1
"6203",9,1,1,0,1,0
"6204",9,2,1,0,1,1
"6205",10,3,0,0,1,0
"6206",10,2,1,0,1,0
"6207",10,3,1,0,1,0
"6208",8,4,1,0,0,1
"6209",10,1,1,0,1,1
"6210",5,1,0,0,1,0
"6211",8,1,0,0,1,0
"6212",8,2,1,0,1,0
"6213",7,1,1,0,1,1
"6214",0,1,0,0,1,0
"6215",8,1,0,0,1,0
"6216",7,2,0,0,1,0
"6217",9,2,1,0,1,1
"6218",10,3,1,0,1,0
"6219",10,2,0,0,1,0
"6220",8,2,1,0,1,1
"6221",9,3,1,0,0,0
"6222",10,6,1,0,0,1
"6223",5,1,1,0,1,1
"6224",10,4,1,0,0,0
"6225",8,2,1,0,1,1
"6226",8,1,0,0,1,1
"6227",8,4,1,0,0,1
"6228",10,2,1,0,1,1
"6229",8,2,1,0,1,1
"6230",8,3,1,0,1,1
"6231",9,1,0,0,1,0
"6232",10,2,1,0,1,1
